 Radio 	 Ic 
 0,00 	 0,00 
 0,00 	 0,01 
 0,00 	 0,01 
 0,00 	 0,01 
 0,00 	 0,02 
 0,00 	 0,02 
 0,00 	 0,02 
 0,00 	 0,03 
 0,00 	 0,03 
 0,00 	 0,03 
 0,00 	 0,04 
 0,00 	 0,04 
 0,00 	 0,04 
 0,00 	 0,05 
 0,00 	 0,05 
 0,00 	 0,05 
 0,00 	 0,06 
 0,00 	 0,06 
 0,00 	 0,06 
 0,00 	 0,06 
 0,00 	 0,07 
 0,00 	 0,07 
 0,00 	 0,07 
 0,00 	 0,08 
 0,00 	 0,08 
 0,00 	 0,08 
 0,00 	 0,09 
 0,00 	 0,09 
 0,00 	 0,09 
 0,00 	 0,10 
 0,00 	 0,10 
 0,00 	 0,10 
 0,00 	 0,11 
 0,00 	 0,11 
 0,00 	 0,11 
 0,00 	 0,12 
 0,00 	 0,12 
 0,00 	 0,12 
 0,00 	 0,13 
 0,00 	 0,13 
 0,00 	 0,13 
 0,00 	 0,14 
 0,00 	 0,14 
 0,00 	 0,14 
 0,00 	 0,15 
 0,00 	 0,15 
 0,00 	 0,15 
 0,00 	 0,16 
 0,00 	 0,16 
 0,01 	 0,16 
 0,01 	 0,17 
 0,01 	 0,17 
 0,01 	 0,17 
 0,01 	 0,17 
 0,01 	 0,18 
 0,01 	 0,18 
 0,01 	 0,18 
 0,01 	 0,19 
 0,01 	 0,19 
 0,01 	 0,19 
 0,01 	 0,20 
 0,01 	 0,20 
 0,01 	 0,20 
 0,01 	 0,21 
 0,01 	 0,21 
 0,01 	 0,21 
 0,01 	 0,22 
 0,01 	 0,22 
 0,01 	 0,22 
 0,01 	 0,23 
 0,01 	 0,23 
 0,01 	 0,23 
 0,01 	 0,24 
 0,01 	 0,24 
 0,01 	 0,24 
 0,01 	 0,25 
 0,01 	 0,25 
 0,01 	 0,25 
 0,01 	 0,26 
 0,01 	 0,26 
 0,01 	 0,26 
 0,01 	 0,27 
 0,01 	 0,27 
 0,01 	 0,27 
 0,01 	 0,28 
 0,01 	 0,28 
 0,01 	 0,28 
 0,01 	 0,29 
 0,01 	 0,29 
 0,01 	 0,29 
 0,01 	 0,29 
 0,01 	 0,30 
 0,01 	 0,30 
 0,01 	 0,30 
 0,01 	 0,31 
 0,01 	 0,31 
 0,01 	 0,31 
 0,01 	 0,32 
 0,01 	 0,32 
 0,01 	 0,32 
 0,01 	 0,33 
 0,01 	 0,33 
 0,01 	 0,33 
 0,01 	 0,34 
 0,01 	 0,34 
 0,01 	 0,34 
 0,01 	 0,35 
 0,01 	 0,35 
 0,01 	 0,35 
 0,01 	 0,36 
 0,01 	 0,36 
 0,01 	 0,36 
 0,01 	 0,37 
 0,01 	 0,37 
 0,01 	 0,37 
 0,01 	 0,38 
 0,01 	 0,38 
 0,01 	 0,38 
 0,01 	 0,39 
 0,01 	 0,39 
 0,01 	 0,39 
 0,01 	 0,40 
 0,01 	 0,40 
 0,01 	 0,40 
 0,01 	 0,40 
 0,01 	 0,41 
 0,01 	 0,41 
 0,01 	 0,41 
 0,01 	 0,42 
 0,01 	 0,42 
 0,01 	 0,42 
 0,01 	 0,43 
 0,01 	 0,43 
 0,01 	 0,43 
 0,01 	 0,44 
 0,01 	 0,44 
 0,01 	 0,44 
 0,01 	 0,45 
 0,01 	 0,45 
 0,01 	 0,45 
 0,01 	 0,46 
 0,01 	 0,46 
 0,01 	 0,46 
 0,01 	 0,47 
 0,01 	 0,47 
 0,01 	 0,47 
 0,01 	 0,48 
 0,01 	 0,48 
 0,01 	 0,48 
 0,02 	 0,49 
 0,02 	 0,49 
 0,02 	 0,49 
 0,02 	 0,50 
 0,02 	 0,50 
 0,02 	 0,50 
 0,02 	 0,51 
 0,02 	 0,51 
 0,02 	 0,51 
 0,02 	 0,52 
 0,02 	 0,52 
 0,02 	 0,52 
 0,02 	 0,52 
 0,02 	 0,53 
 0,02 	 0,53 
 0,02 	 0,53 
 0,02 	 0,54 
 0,02 	 0,54 
 0,02 	 0,54 
 0,02 	 0,55 
 0,02 	 0,55 
 0,02 	 0,55 
 0,02 	 0,56 
 0,02 	 0,56 
 0,02 	 0,56 
 0,02 	 0,57 
 0,02 	 0,57 
 0,02 	 0,57 
 0,02 	 0,58 
 0,02 	 0,58 
 0,02 	 0,58 
 0,02 	 0,59 
 0,02 	 0,59 
 0,02 	 0,59 
 0,02 	 0,60 
 0,02 	 0,60 
 0,02 	 0,60 
 0,02 	 0,61 
 0,02 	 0,61 
 0,02 	 0,61 
 0,02 	 0,62 
 0,02 	 0,62 
 0,02 	 0,62 
 0,02 	 0,63 
 0,02 	 0,63 
 0,02 	 0,63 
 0,02 	 0,63 
 0,02 	 0,64 
 0,02 	 0,64 
 0,02 	 0,64 
 0,02 	 0,65 
 0,02 	 0,65 
 0,02 	 0,65 
 0,02 	 0,66 
 0,02 	 0,66 
 0,02 	 0,66 
 0,02 	 0,67 
 0,02 	 0,67 
 0,02 	 0,67 
 0,02 	 0,68 
 0,02 	 0,68 
 0,02 	 0,68 
 0,02 	 0,69 
 0,02 	 0,69 
 0,02 	 0,69 
 0,02 	 0,70 
 0,02 	 0,70 
 0,02 	 0,70 
 0,02 	 0,71 
 0,02 	 0,71 
 0,02 	 0,71 
 0,02 	 0,72 
 0,02 	 0,72 
 0,02 	 0,72 
 0,02 	 0,73 
 0,02 	 0,73 
 0,02 	 0,73 
 0,02 	 0,74 
 0,02 	 0,74 
 0,02 	 0,74 
 0,02 	 0,75 
 0,02 	 0,75 
 0,02 	 0,75 
 0,02 	 0,75 
 0,02 	 0,76 
 0,02 	 0,76 
 0,02 	 0,76 
 0,02 	 0,77 
 0,02 	 0,77 
 0,02 	 0,77 
 0,02 	 0,78 
 0,02 	 0,78 
 0,02 	 0,78 
 0,02 	 0,79 
 0,02 	 0,79 
 0,02 	 0,79 
 0,02 	 0,80 
 0,02 	 0,80 
 0,02 	 0,80 
 0,02 	 0,81 
 0,03 	 0,81 
 0,03 	 0,81 
 0,03 	 0,82 
 0,03 	 0,82 
 0,03 	 0,82 
 0,03 	 0,83 
 0,03 	 0,83 
 0,03 	 0,83 
 0,03 	 0,84 
